name,2012EI,2013EI,2014EI,2015EI,2016EI,2017EI,Education,2012CR,2013CR,2014CR,2015CR,2016CR,2017CR,2018CR,Criminality,2012II,2013II,2014II,2015II,2016II,2017II,2018II,Income,2012Theft,2013Theft,2014Theft,2015Theft,2016Theft,2017Theft,2018Theft,2012Homcide,2013Homcide,2014Homcide,2015Homcide,2016Homcide,2017Homcide,2018Homicide,2012Assault,2013Assault,2014Assault,2015Assault,2016Assault,2017Assault,2018Assault,2012Rape,2013Rape,2014Rape,2015Rape,2016Rape,2017Rape,2018Rape,2012Sexassault,2013Sexassault,2014Sexassault,2015Sexassault,2016Sexassault,2017Sexassault,2018Sexassault,2012_M50,2013_M50,2014_M50,2015_M50,2016_M50,2017_M50,2018_M50,2012A_M50,2013A_M50,2014A_M50,2015A_M50,2016A_M50,2017A_M50,2018A_M50,2012Emp,2013Emp,2014Emp,2015Emp,2016Emp,2017Emp,2018Emp,2012Inac,2013Inac,2014Inac,2015Inac,2016Inac,2017Inac,2018Inac,2012Nemp,2013Nemp,2014Nemp,2015Nemp,2016Nemp,2017Nemp,2018Nemp,2012Nsal,2013Nsal,2014Nsal,2015Nsal,2016Nsal,2017Nsal,2018Nsal,2012Pop,2013Pop,2014Pop,2015Pop,2016Pop,2017Pop,2018Pop,2012Ret,2013Ret,2014Ret,2015Ret,2016Ret,2017Ret,2018Ret,2012Sal,2013Sal,2014Sal,2015Sal,2016Sal,2017Sal,2018Sal,2012Une,2013Une,2014Une,2015Une,2016Une,2017Une,2018Une,2012ED0-2,2013ED0-2,2014ED0-2,2015ED0-2,2016ED0-2,2017ED0-2,2018ED0-2,2012ED3-8,2013ED3-8,2014ED3-8,2015ED3-8,2016ED3-8,2017ED3-8,2018ED3-8,2012ED03_4,2013ED3_4,2014ED03_4,2015ED3_4,2016ED3_4,2017ED3_4,2018ED3_4,2012ED5-8,2013ED5-8,2014ED5-8,2015ED5-8,2016ED5-8,2017ED5-8,2018ED5-8
Italy,0.78833333333333,0.79611111111111,0.78944444444444,0.79277777777778,0.79277777777778,0.79277777777778,0.79,1934.6016949153,2329.9423728814,2354.3644067797,2201.0949152542,2029.4084745763,1925.8389830508,1810.2406779661,0.35,0.88996662544668,0.88722965230194,0.88439888284276,0.87589460557711,0.87110173768607,0.86818984482714,0.87964914103509,0.85,1795.91,2183.71,2167.27,2021.70,1867.31,1765.93,1655.52,0.89,0.85,0.80,0.77,0.67,0.62,0.59,117.06,111.11,110.24,107.03,105.72,108.77,109.71,7.89,7.52,7.00,6.58,0,0,0,1795.91,2183.71,2167.27,2021.70,1867.31,1765.93,1655.52,6745,6321,6133,6232,6097,6613,6637,17977,17552,17673,17911,18568,18721,19131,18984,18643,18853,19028,19432,19731,19974,13394,12940,13242,13251,13250,13197,13475,13515,12803,12810,12651,12694,12931,13008,17783,16887,16985,16999,17575,18430,19733,16732,16260,16304,16352,16766,16961,17307,19954,20034,19302,19495,19472,19547,20346,19159,19089,19267,19397,19775,20023,20019,10267,9820,9701,9926,10320,11247,10732,44.2,43.4,42.3,41.9,41.6,40.9,40.3,55.8,56.6,57.7,58.1,58.4,59.1,59.7,41.9,42.2,42.7,42.7,42.7,42.6,42.6,13.9,14.4,15.0,15.5,15.7,16.5,17.1
Latvia,0.84222222222222,0.85944444444444,0.86333333333333,0.86555555555556,0.86555555555556,0.86555555555556,0.86,1200.1577287066,1131.8086225026,1139.221871714,1067.5604626709,818.24395373291,818.76971608833,794.05888538381,0.17,0.74527185664554,0.75658276504931,0.76017237708392,0.757888875287,0.75465328745699,0.75516343901037,0.77146531492264,0.74,1043.67,1019.01,1028.15,976.14,739.99,745.29,726.18,4.74,3.41,3.85,4.08,5.64,5.59,5.22,64.80,22.63,28.43,26.89,33.37,33.69,33.40,3.13,3.61,3.75,3.02,7.21,8.26,9.10,0,15.02,18.44,12.24,4.22,5.74,6.88,1957,2076,2396,2596,2868,2937,3160,5214,5600,6163,6929,7502,8005,8933,5746,6113,6651,7421,7961,8426,9260,3815,4075,4473,4793,5374,5704,5612,3375,3593,4037,4443,4782,4957,5100,5039,5364,5572,6486,6629,6659,7206,4790,5097,5730,6445,7018,7408,8111,4080,4196,4421,4480,4449,4741,5160,5791,6180,6733,7499,8079,8579,9411,2518,2523,2904,3116,3438,3425,3521,17.4,16.6,16.1,15.6,14.9,15.2,15.3,82.6,83.4,83.9,84.4,85.1,84.8,84.7,57.4,56.4,57.0,56.3,55.6,54.8,54.7,25.2,27.0,26.9,28.1,29.5,30.0,30.1
Lithuania,0.84277777777778,0.84944444444444,0.88055555555556,0.88055555555556,0.88055555555556,0.88055555555556,0.87,868.62254025045,1022.8980322004,1022.2182468694,838.21109123435,734.49016100179,628.15742397138,477.06618962433,0.14,0.7475385446639,0.76027088098789,0.76729351991648,0.75868705802332,0.7557733553089,0.75958000090758,0.77965172747387,0.74,781.65,940.54,947.69,779.90,691.11,598.33,456.87,6.03,5.79,5.27,5.75,4.92,3.97,3.45,5.93,7.10,6.93,7.33,7.48,6.25,6.59,5.93,4.48,5.37,5.31,3.81,4.35,4.13,8.76,4.11,5.40,3.70,3.39,3.58,3.67,1970,2130,2300,2386,2505,2732,3044,5015,5414,5697,6501,6939,7408,8312,5779,6094,6349,6888,7647,7848,8725,3785,4104,4244,4411,4701,4623,5503,3390,3541,3718,3770,4093,4245,4946,4619,5756,5804,7452,7663,8787,10096,4746,5037,5362,5721,6429,6846,7740,3576,3452,3806,3636,4002,4552,4418,5835,6137,6379,6862,7647,7789,8681,2476,2383,2390,2400,2696,2720,2897,15.0,14.4,14.2,13.8,12.4,12.0,11.7,85.0,85.6,85.8,86.2,87.6,88.0,88.3,56.4,55.8,54.3,53.0,53.5,53.2,52.3,28.6,29.8,31.4,33.2,34.1,34.8,36.1
Malta,0.77666666666667,0.78888888888889,0.79777777777778,0.80944444444444,0.81833333333333,0.81833333333333,0.8,1704.9792017667,1672.8061909249,1606.9371864797,1702.6947276241,1735.058111311,1623.4996240136,1296.4390759302,0.28,0.81583296534326,0.82386373554974,0.83136606266587,0.83543167622245,0.82527908921374,0.82876051933252,0.84617640535534,0.81,2081.21,2009.90,1927.20,2015.40,2030.60,1793.41,1372.29,2.39,1.42,1.41,0.93,1.11,1.96,1.26,41.67,51.74,37.61,42.62,44.40,40.41,38.47,3.11,3.56,2.59,5.36,5.99,4.13,3.78,16.53,18.75,15.52,18.87,13.54,12.82,15.77,5411,5646,6074,6410,6578,6901,6927,12171,13012,13694,14659,14823,15825,16037,14073,14865,15665,16549,16490,17625,17927,9713,10267,10690,11259,11525,12085,12225,9550,10118,10426,10899,11200,11801,11918,12338,12451,13398,13547,14070,14788,15059,12297,12909,13655,14560,14794,15837,16086,11137,11219,11155,11937,11762,12010,12645,14359,15065,15913,16866,16874,17884,18290,7068,7286,7792,7452,8655,8057,7352,56.9,54.3,52.2,50.4,47.9,45.6,42.9,43.1,45.7,47.8,49.6,52.1,54.4,57.1,26.5,27.8,28.4,29.7,31.8,32.3,32.4,16.6,17.9,19.4,19.9,20.3,22.1,24.6
Montenegro,0.79,0.79,0.79333333333333,0.79055555555556,0.79055555555556,0.79055555555556,0.79,171.25795729818,151.9431500841,172.38465438567,162.56629405184,108.80674730599,109.12866075955,100.91986769357,0.02,0.6417595560512,0.64871799373098,0.64851177427045,0.64726851020376,0.64368932194504,0.65035769212567,0.6701967479735,0.63,138.16,119.02,143.52,132.94,81.32,80.82,70.70,2.42,1.45,3.06,2.73,3.86,1.77,2.09,27.08,27.86,20.76,22.50,20.57,23.62,24.58,0.48,0.64,0.80,0.80,0.32,1.61,1.29,3.39,3.06,4.18,3.38,2.57,1.12,2.09,0,1072,1217,1190,1233,1364,1341,:,3776,3720,3840,3960,4111,4480,:,4589,4381,4478,4554,4691,4929,:,2515,2400,2532,2679,2945,3168,:,2279,2337,2446,2547,2786,3011,:,4287,4870,4467,4883,4830,4839,:,3132,3152,3226,3333,3600,3858,:,3397,3490,3573,3480,3710,4505,:,4603,4368,4479,4500,4671,4944,:,1834,1988,2045,2178,2303,2365,21.5,21.2,20.3,19.5,19.6,19.5,18.6,78.5,78.8,79.7,80.5,80.4,80.5,81.4,60.9,60.3,59.5,60.5,59.2,60.0,61.1,17.6,18.4,20.2,20.0,21.2,20.6,20.3
Netherlands,0.89444444444444,0.90055555555556,0.90333333333333,0.90611111111111,0.90333333333333,0.90666666666667,0.9,2307.8841743119,2298.5493119266,2143.2855504587,1968.5493119266,1794.3405963303,1535.625,1393.4288990826,0.33,0.94735438464296,0.94741145141031,0.9446185755225,0.93817706637332,0.92908379961403,0.92975865880672,0.94248213220026,0.91,2347.68,2335.85,2171.04,1982.87,1790.76,1515.73,1362.02,0,0.88,0.86,0.71,0.64,0.92,0.69,37.09,33.25,31.73,30.18,29.57,28.01,26.66,8.64,7.42,7.25,7.48,9.04,10.30,11.23,12.37,11.62,10.78,10.12,13.05,12.88,13.82,9304,9343,9725,9702,10269,10635,10832,21479,21642,21890,22348,23926,24964,25447,23772,23623,24021,24536,26502,27770,28170,17508,17064,16846,16832,18462,18561,19472,16807,16555,16069,16288,17239,17382,17748,24088,23931,24485,23872,25852,26604,27290,21597,21673,21788,22123,23817,24895,25373,21657,21947,19907,21177,20380,20926,20708,23766,23600,23962,24589,26540,27921,28265,13535,13779,13737,14043,13984,14360,14594,30.8,29.0,28.8,28.4,27.9,26.6,26.0,69.2,71.0,71.2,71.6,72.1,73.4,74.0,40.6,41.6,41.4,41.1,41.1,41.3,40.9,28.6,29.3,29.7,30.5,31.0,32.1,33.0
North Macedonia,0.66833333333333,0.67166666666667,0.67777777777778,0.68944444444444,0.68944444444444,0.68944444444444,0.68,0,0,0,0,0,0,0,0,0.58286700287464,0.5909334962594,0.59685800977,0.59422069431637,0.59032806165581,0.58849706067528,0.6050557484114,0.58,292.94,268.15,241.22,0,0,0,0,1.36,0.97,1.21,1.01,0.82,1.21,0,10.24,10.47,10.31,7.44,8.35,7.14,0,2.09,1.84,2.18,1.98,1.74,1.69,0,0,0,0,0,0,0,0,605,686,725,809,777,855,904,2281,2366,2357,2534,2644,2870,3009,2436,2508,2586,2760,2857,3117,3301,1511,1621,1700,1830,1852,1906,2043,1455,1556,1599,1721,1737,1898,1956,1667,1887,1940,2142,2233,2338,2310,1863,1943,1984,2160,2296,2494,2658,2516,2554,2727,2953,2738,3286,3365,2680,2750,2784,2921,3015,3231,3493,1170,1298,1397,1507,1539,1719,1783,36.9,36.1,35.9,35.3,33.4,32.0,31.6,63.1,63.9,64.1,64.7,66.6,68.0,68.4,47.5,48.8,48.9,48.5,48.6,50.1,50.9,15.7,15.1,15.2,16.2,17.9,18.0,17.6
Norway,0.90611111111111,0.915,0.90833333333333,0.90833333333333,0.91722222222222,0.91722222222222,0.91,3000.6320877487,2821.6768916155,2562.9485034393,2251.5895147797,2080.1821899981,1887.4140174754,1851.8497862056,0.4,1.0421056115524,1.0496562547924,1.0499169954752,1.0323475530309,1.0123138428578,1.0013035092557,1.0103519312052,1,3116.11,2889.17,2584.55,2222.55,2005.61,1791.05,1743.33,0.54,0.93,0.57,0.46,0.52,0.53,0.47,55.78,50.80,46.54,43.34,42.20,40.16,37.16,33.01,31.56,31.91,36.85,42.89,43.89,48.42,31.78,32.29,35.38,40.99,56.13,55.09,51.63,15660,17635,17415,16757,16601,15856,16017,41064,44217,45319,43100,41226,40018,41229,44280,47621,48558,46441,44806,43628,44232,32363,34370,34746,32464,30684,29232,28020,32474,34192,34746,32183,30606,29415,28056,40116,44658,47281,42317,42397,41154,43405,41605,44821,45729,43211,41513,40383,41086,41095,46882,44197,44194,47398,44316,43674,44457,47680,48573,46593,44864,43683,44279,26336,28215,29380,26580,27378,26597,25628,24.5,23.6,24.6,24.3,24.9,24.9,23.9,75.5,76.4,75.4,75.7,75.1,75.1,76.1,42.4,42.2,39.3,38.9,38.3,38.3,38.6,33.0,34.2,36.1,36.7,36.8,36.8,37.5
Poland,0.815,0.85611111111111,0.82111111111111,0.85055555555556,0.86222222222222,0.86555555555556,0.85,638.42160737813,587.02766798419,469.76021080369,404.56916996047,357.24110671937,304.81949934124,281.63636363636,0.07,0.73711677600145,0.73973400292106,0.74163974057917,0.73882879732754,0.73197991921387,0.7320986270639,0.7480732557758,0.72,606.22,557.35,443.39,382.08,332.90,281.58,260.25,0.99,0.78,0.74,0.76,0.67,0.73,0.70,25.54,23.96,21.70,18.31,20.07,19.23,17.41,3.76,2.07,2.09,1.73,2.08,1.89,1.99,0,1.14,1.01,1.11,1.35,1.20,1.10,2288,2311,2378,2473,2535,2640,2817,5641,5697,5866,6105,6487,6446,7037,5951,5966,6179,6331,6785,6778,7489,4190,4193,4334,4448,4661,4858,5288,4281,4334,4419,4546,4736,4898,5386,4584,4849,4661,4819,5160,5112,5471,5229,5312,5444,5665,5992,6115,6725,5514,5538,5762,5879,5988,5873,6366,6237,6247,6489,6671,7078,7178,7887,3325,3359,3566,3530,3758,3892,4498,16.7,16.1,15.5,15.2,14.6,13.9,13.5,83.3,83.9,84.5,84.8,85.4,86.1,86.5,61.8,61.3,60.7,60.3,60.2,59.8,59.3,21.5,22.6,23.8,24.4,25.2,26.3,27.2
Portugal,0.73333333333333,0.75055555555556,0.75222222222222,0.75888888888889,0.75944444444444,0.75944444444444,0.75,956.61818181818,888.74545454545,854.6,922.25454545455,839.68181818182,833.99090909091,824.47272727273,0.15,0.80878637311815,0.81034952257525,0.80907178790572,0.80362840294297,0.7998115824453,0.80064301463951,0.81494419857569,0.78,970.09,904.92,873.10,948.78,863.57,858.82,850.93,1.16,1.37,0.88,0.96,0.64,0.74,0.79,6.65,5.53,5.20,4.52,5.04,5.66,5.63,3.56,3.29,3.59,3.61,3.24,3.96,4.09,16.69,17.08,18.77,19.95,20.67,20.66,19.84,3853,3563,3429,3539,3867,3959,4170,9434,9371,9378,9502,9994,10199,10314,9584,9709,9601,9743,10071,10293,10567,6778,6760,6556,6800,7291,7322,7818,6908,6790,6634,6644,7113,7334,7621,7070,6900,7018,7637,8007,7964,8583,8629,8474,8486,8667,9047,9280,9646,9814,9865,9606,9393,9591,9967,10011,9886,9950,9893,9991,10346,10496,10723,5939,5760,5686,5660,5930,5920,6097,61.6,59.4,56.3,54.4,52.9,51.7,49.8,38.4,40.6,43.7,45.6,47.1,48.3,50.2,21.7,23.0,24.0,24.9,25.6,26.6,27.6,16.7,17.6,19.7,20.7,21.5,21.7,22.5
Romania,0.76333333333333,0.76611111111111,0.76611111111111,0.76611111111111,0.76388888888889,0.76388888888889,0.76,393.31259720062,400.14515292898,873.45256609642,570.89165370658,485.68688439606,509.12389839295,532.28097459824,0.09,0.67563920494568,0.68499963372282,0.69103631270885,0.68947095433406,0.6897853264171,0.69728989121644,0.71582691353415,0.67,282.30,287.50,824.15,545.72,466.08,489.47,514.10,1.88,1.68,1.49,1.46,1.25,1.30,1.37,85.68,87.77,11.43,1.50,1.54,1.38,1.29,4.45,4.89,4.39,5.11,4.76,7.05,7.49,3.21,3.72,3.21,0.40,0.50,0.73,1.47,826,780,783,838,874,1001,1258,2410,2379,2557,2760,2926,3214,4004,2352,2327,2490,2683,2906,3280,4200,1549,1474,1531,1599,1754,1979,2306,1856,1790,1884,1945,2040,2279,2621,1126,1121,1064,1150,1239,1473,1805,2134,2099,2254,2415,2551,2885,3540,2518,2504,2605,2731,2827,3110,3490,2754,2722,2940,3071,3335,3730,4754,1130,1135,1320,1204,1403,1546,2031,29.2,28.9,31.2,29.4,28.0,27.0,26.3,70.8,71.1,68.8,70.6,72.0,73.0,73.7,57.3,57.3,54.6,55.6,56.9,57.7,58.2,13.5,13.8,14.2,15.0,15.1,15.3,15.5
Seria,0.74166666666667,0.74388888888889,0.75666666666667,0.76666666666667,0.77555555555556,0.77555555555556,0.76,6231.884057971,6232.115942029,6095.5942028986,6076.3333333333,5764.3188405797,5556.3043478261,5187.9565217391,1,0.62047497978122,0.62963267636932,0.62439872587781,0.6174638023699,0.61072606626862,0.60724104122712,0.62845896625774,0.6,248.04,430.02,374.35,344.13,316.98,294.85,271.32,1.44,1.84,1.60,1.35,1.50,1.12,1.49,18.33,24.37,21.07,19.99,18.92,18.25,17.52,1.18,1.95,1.86,1.60,1.48,1.58,1.76,4.30,1.68,2.17,1.88,2.52,2.87,4.83,0,919,854,887,869,897,943,0,2956,2970,3033,2950,3054,3194,:,3031,3097,3178,3153,3294,3487,:,2121,2095,1954,1988,2242,2334,:,1980,1945,1824,1847,1949,2126,:,1842,1838,1910,2105,2237,2507,:,2440,2448,2376,2414,2534,2769,:,2800,2843,2782,2710,2875,2967,:,3432,3384,3352,3313,3431,3584,:,1495,1545,1432,1478,1505,1681,27.3,26.9,24.6,23.6,23.3,23.0,22.5,72.7,73.1,75.4,76.4,76.7,77.0,77.5,56.8,56.3,57.7,57.6,57.3,57.2,57.1,15.8,16.8,17.7,18.7,19.4,19.8,20.4
Slovakia,0.82388888888889,0.82055555555556,0.82111111111111,0.83333333333333,0.83333333333333,0.83333333333333,0.83,679.17200952555,420.62648836783,380.43597728522,479.2636013922,324.29016303352,320.8646272211,364.84704158271,0.07,0.78273810404098,0.78650945549762,0.78700526250088,0.78163083970451,0.77391418557571,0.7721950541746,0.7869227409302,0.76,642.63,382.71,342.84,444.37,292.47,287.21,332.13,1.39,1.44,1.33,0.89,1.11,1.47,1.23,40.39,37.28,36.71,34.35,30.08,30.21,29.34,1.63,1.68,1.59,1.60,1.51,1.77,1.82,0,1.26,1.00,1.38,1.09,1.60,1.40,2921,2687,2751,2506,2584,2426,2898,7322,7069,7152,7224,7272,7438,7821,8325,7937,7982,7902,7914,8084,8759,6268,6191,6064,6119,6075,6243,6768,6097,6003,5780,6097,5968,6100,6556,6886,6420,6970,6156,6353,7098,7451,7374,7083,7215,7268,7298,7487,7997,6576,6635,6819,7042,7099,6994,7274,8608,8257,8158,8117,8082,8214,8890,4554,4447,4215,4655,4296,4325,4420,15.0,14.7,15.2,14.6,14.3,14.8,14.4,85.0,85.3,84.8,85.4,85.7,85.2,85.6,68.0,67.5,66.7,66.5,66.0,64.5,63.6,17.0,17.7,18.1,18.9,19.7,20.7,22.0
Slovenia,0.85944444444444,0.87888888888889,0.87722222222222,0.87777777777778,0.88777777777778,0.88444444444444,0.88,1729.4285714286,1757.380952381,1517.5714285714,1163.3333333333,1093.8571428571,1049.5714285714,1011.5238095238,0.23,0.82308609814954,0.82295610181503,0.82540710255308,0.81644521638743,0.8131508217961,0.81556005518523,0.83148902216097,0.8,1649.48,1697.18,1460.54,1105.16,1036.44,994.19,948.92,0.68,0.58,0.82,0.97,0.48,0.92,0.48,98.85,89.81,80.39,74.65,72.23,67.67,74.70,2.82,2.57,2.13,2.04,1.60,2.03,2.03,15.03,2.38,2.33,1.45,2.08,2.08,1.60,5388,5265,5136,5409,5301,5619,5915,12681,12467,12593,12938,12966,13261,13786,13484,13147,13389,13629,13806,14232,14757,11502,11284,11035,11510,11386,11841,12502,10678,10465,10166,10574,10344,10839,11263,10427,10010,10091,10720,10755,10487,11299,12381,12127,12153,12575,12596,13077,13641,11301,11168,11170,11491,11112,11289,11620,13769,13481,13684,13964,14125,14579,15053,7523,7532,7641,7887,7882,8417,8391,19.0,18.5,18.4,17.4,17.2,16.7,16.4,81.0,81.5,81.6,82.6,82.8,83.3,83.6,58.0,57.1,56.5,55.9,55.6,54.6,54.9,23.0,24.4,25.1,26.6,27.2,28.7,28.7
Spain,0.8,0.80555555555556,0.81222222222222,0.81777777777778,0.82388888888889,0.82388888888889,0.81,405.53748680042,399.97888067582,383.99155227033,512.36536430834,400.05913410771,401.86483632524,418.99894403379,0.07,0.85915259775613,0.85755792002323,0.85714364281772,0.85346941678583,0.84861016440224,0.8460648427717,0.85812570235759,0.83,353.06,349.82,333.79,442.96,351.16,349.09,360.50,0.78,0.65,0.69,0.65,0.63,0.66,0.62,37.06,35.74,36.07,62.55,37.32,38.87,39.20,2.73,2.78,2.66,2.65,2.69,2.98,3.64,16.51,16.32,17.69,13.49,16.10,17.36,21.24,5596,5382,5305,5090,5442,5563,6074,15924,15593,15606,15595,16002,16690,17012,17080,16656,16488,16278,16608,17260,17399,12107,11789,11714,11669,11870,12537,12439,11001,10494,10144,10226,10193,10963,11078,13480,13385,12560,13266,13012,14174,14696,14344,13818,13459,13554,13935,14598,15153,17907,18823,18544,18345,18061,18246,18085,17677,17357,17200,16826,17273,17626,17894,9072,8751,8264,8541,8331,8946,8691,46.4,45.6,44.5,43.5,42.6,41.8,40.8,53.6,54.4,55.5,56.5,57.4,58.2,59.2,23.6,23.5,23.9,24.4,24.7,24.9,25.2,30.0,30.9,31.7,32.1,32.7,33.2,34.0
Sweden,0.85222222222222,0.86222222222222,0.88222222222222,0.90222222222222,0.90222222222222,0.90222222222222,0.88,4154.5893719807,4154.7439613527,4063.729468599,4050.8888888889,3842.8792270531,3704.2028985507,3458.6376811594,0.67,0.96398432453231,0.97075791414486,0.97092891604226,0.96226177433653,0.95138127416237,0.94763950313339,0.95489691168573,0.93,4306.93,4298.52,4141.40,4100.05,3810.73,3602.88,3303.14,0.72,0.91,0.90,1.15,1.08,1.13,1.07,56.29,48.76,47.38,47.66,50.34,46.87,46.53,62.73,58.96,65.26,56.88,64.06,69.72,74.85,107.83,92.86,105.89,95.61,111.32,115.11,111.57,9981,10554,10862,10957,10717,11242,11296,25256,26983,27664,26951,26965,27204,27384,27841,29564,30150,29796,29701,30005,30348,18234,19298,19290,18055,17773,18184,18373,18183,19065,19230,18186,17791,18382,18014,27173,28233,28291,27007,29426,28842,29515,25697,27220,27876,27403,27302,27501,27644,23139,24328,24800,23708,22090,26210,21548,27880,29717,30363,30037,29732,30121,30405,15166,16999,17230,16883,15096,15199,14025,23.8,22.9,22.1,21.6,21.1,21.1,20.9,76.2,77.1,77.9,78.4,78.9,78.9,79.1,46.1,45.7,45.0,44.4,43.6,42.9,42.0,30.1,31.4,32.8,34.0,35.3,36.0,37.1
Switzerland,0.88555555555556,0.88833333333333,0.89111111111111,0.89666666666667,0.89666666666667,0.89666666666667,0.89,2528.6673613523,2323.8392960519,2060.8776195438,1867.4771332639,1733.46069237,1675.6975801783,1614.9010072942,0.34,1.0237507408396,1.0303673780417,1.0265303061105,1.0254280140971,1.0192438872719,1.0125920473653,1.0189599144822,0.99,2705.06,2455.37,2145.07,1916.94,1757.62,1680.66,1603.12,0.57,0.71,0.50,0.69,0.54,0.53,0.59,7.50,7.07,7.48,7.48,6.88,6.96,6.90,7.15,7.10,6.83,6.46,7.06,7.35,7.38,25.29,26.43,26.92,26.44,25.87,23.47,26.01,17507,18650,17579,18101,19617,19047,19238,42769,43658,40909,42587,47874,47457,46031,44463,45603,43071,45173,50748,49541,48190,34137,35446,33779,34673,38261,37555,38236,33897,35558,33769,34387,38026,37526,37960,43970,46271,41455,39975,45486,45882,43373,42345,43667,40928,42389,47725,46932,45590,35317,39368,38667,38745,45464,45012,40616,44466,45555,43215,45483,51130,49927,48464,27809,33014,31323,31122,31097,32422,32135,20.4,19.6,18.7,18.5,18.2,17.8,17.2,79.6,80.4,81.3,81.5,81.8,82.2,82.8,49.5,48.5,48.3,47.3,46.3,45.5,45.0,30.1,31.9,32.9,34.2,35.4,36.8,37.7
Turkey,0.65,0.66777777777778,0.67555555555556,0.68222222222222,0.68888888888889,0.68888888888889,0.68,0,0,0,0,0,0,0,0,0.60696960228367,0.6307973369683,0.64601492847501,0.64240555446146,0.63804577907236,0.62775033760221,0.63604206276219,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,1641,1646,1631,1840,1927,1747,4219,4429,4483,4375,4819,4979,4485,3976,4192,4301,4220,4666,4858,4382,3075,3250,3243,3138,3383,3506,3168,3169,3392,3393,3258,3514,3649,3302,3347,3706,3826,3779,4336,4355,3916,3532,3753,3791,3682,4082,4217,3801,4765,5138,5108,4867,5222,5544,4826,4356,4399,4525,4436,4796,5053,4556,2254,2496,2503,2526,2782,2862,2669,68.5,67.7,67.4,66.0,64.4,63.4,62.3,31.5,32.3,32.6,34.0,35.6,36.6,37.7,19.1,19.3,19.0,19.3,19.6,20.0,20.4,12.4,13.0,13.6,14.8,16.0,16.6,17.3
Ukraine,0.79055555555556,0.79055555555556,0.79333333333333,0.79333333333333,0.79333333333333,0.79333333333333,0.79,61.322727272727,68.027272727273,67.868181818182,65.890909090909,62.190909090909,61.025,63.220454545455,0.01,0.5370557017379,0.54947823781436,0.53962328306794,0.49503149447946,0.47428971245068,0.47879917363311,0.50334858939145,0.5,1309.78,1493.93,1460.35,1392.41,1294.58,1253.97,1288.84,1.15,1.09,0.93,1.30,0.97,1.29,1.23,70.26,59.84,63.79,65.29,59.78,56.41,56.66,27.65,29.73,37.39,40.79,44.60,51.00,58.10,74.55,54.03,62.86,70.52,73.50,75.80,77.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,0.86611111111111,0.91166666666667,0.92055555555556,0.91,0.91333333333333,0.91333333333333,0.91,156.70298507463,164.32089552239,154.64776119403,143.72089552239,141.84776119403,145.71194029851,146.60746268657,0.03,0.91129602297081,0.9150180298119,0.92080923764091,0.92060497022455,0.91575858699938,0.90980311338944,0.9114770798442,0.89,1781.88,1914.81,1780.27,1619.49,1578.45,1598.29,1592.24,1.19,1.15,1.16,1.10,1.15,1.09,1.10,68.65,55.47,54.39,69.34,73.47,72.84,74.47,25.86,31.77,33.67,31.59,32.64,39.45,42.17,101.05,66.22,71.78,76.17,81.91,91.33,96.67,8890,8653,9741,10000,9554,10069,9868,21186,20579,23033,23644,23266,23461,24440,23411,23154,25624,26168,25798,25250,25613,14837,13776,15310,15441,15804,15384,15972,14613,13808,15183,15445,15909,15310,15988,21074,18866,21357,22484,21590,22367,21762,20755,20311,22339,22925,22691,22550,22999,17867,19080,20458,20436,20710,19492,19412,23594,23561,26007,26580,26305,25594,26021,11174,11875,11230,12756,13106,12199,13211,22.2,21.7,20.9,20.3,20.5,20.0,19.7,77.8,78.3,79.1,79.7,79.5,80.0,80.3,43.1,42.7,42.5,42.1,41.2,41.3,41.0,34.6,35.6,36.6,37.6,38.3,38.7,39.3